PairID;BrAttempt;EggDate;HatchDate;ChickGoneDate;EggLossDate;FailureCause;BreedSucc;EggPosX;EggPosY;EggExact;HatchExact;FledgeExact;ChickMinAge;Comment
Rost-2-2016-3;1;2016-05-03;2016-06-05;2016-06-24;;;1;NA;NA;1;2;1;19;
Farallon-1-2016-1;1;2016-05-05;2016-06-06;2016-06-25;;;1;NA;NA;1;1;1;19;
Rost-2-2016-2;1;2016-05-06;2016-06-14;2016-07-01;;;1;NA;NA;1;1;1;17;
Rost-3-2016-5;1;2016-05-07;2016-06-09;2016-07-02;;;1;NA;NA;1;1;1;23;
Farallon-3-2016-1;1;2016-05-08;2016-06-11;2016-06-30;;;1;NA;NA;1;1;1;19;
Bonden-3-2016-1;1;2016-05-08;2016-06-11;2016-06-30;;;1;NA;NA;1;3;1;19;
Farallon-1-2016-2;1;2016-05-09;;;2016-05-13;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 13/5
Farallon-3-2016-2;1;2016-05-12;2016-06-12;2016-07-04;;;1;NA;NA;2;1;1;22;
Farallon-3-2016-4;1;2016-05-12;2016-06-14;2016-07-03;;;1;NA;NA;2;1;1;19;
Farallon-3-2016-5;1;2016-05-12;2016-06-13;2016-07-04;;;1;NA;NA;2;1;1;21;
Rost-3-2016-2;1;2016-05-12;2016-06-13;2016-07-01;;;1;NA;NA;2;1;1;18;
Bonden-4-2016-1;1;2016-05-12;2016-06-16;2016-07-06;;;1;NA;NA;2;1;1;19;
Bonden-4-2016-2;1;2016-05-13;2016-06-14;2016-07-06;;;1;NA;NA;1;1;1;21;
Farallon-3-2016-3;1;2016-05-13;2016-06-15;2016-07-06;;;1;NA;NA;1;1;1;21;
Rost-3-2016-3;1;2016-05-13;2016-06-14;2016-07-07;;;1;NA;NA;1;1;1;23;U märkt som YN:AR5 
Rost-3-2016-1;1;2016-05-14;2016-06-16;2016-07-09;;;NA;NA;NA;1;1;1;23;U märkt som YN:AR4 ACX884. U ramlade ner till lägre hylla dagtid, förälder följde med. Omöjligt att veta om unge klarat sig eller ej. EJ MED I BERÄKNINGARNA!
Farallon-3-2016-6;1;2016-05-15;2016-06-17;2016-07-06;;;1;NA;NA;1;1;1;19;U märkt som YN:AR2 ACX882
Farallon-3-2016-7;1;2016-05-15;2016-06-18;2016-07-07;;;1;NA;NA;1;1;1;19;U märkt som YN:AR3 ACX883
Farallon-2-2016-1;1;2016-05-15;;;2016-05-24;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 24/5
Rost-2-2016-4;1;2016-05-16;2016-06-19;2016-07-08;;;1;NA;NA;1;1;1;19;
Triangle-2-2016-1;1;2016-05-16;2016-06-17;2016-07-06;;;1;NA;NA;1;1;1;19;U märkt som YN:AR1 ACX881
Rost-2-2016-5;1;2016-05-16;2016-06-10;2016-06-29;;;1;NA;NA;1;1;1;19;
Triangle-2-2016-3;1;2016-05-16;2016-06-19;2016-07-09;;;1;NA;NA;1;1;1;20;
Triangle-3-2016-1;1;2016-05-16;2016-06-17;2016-07-07;;;1;NA;NA;2;2;1;20;
Bonden-4-2016-3;1;2016-05-18;2016-06-20;2016-07-09;;;1;NA;NA;1;1;1;19;
Bonden-2-2016-1;1;2016-05-18;2016-06-16;2016-07-06;;;1;NA;NA;4;4;1;20;
Triangle-2-2016-2;1;2016-05-19;2016-06-22;2016-07-09;;;1;NA;NA;1;1;1;17;
Rost-5-2016-2;1;2016-05-20;2016-06-21;2016-07-14;;;1;NA;NA;1;1;1;23;
Farallon-4-2016-1;1;2016-05-24;2016-06-25;2016-07-15;;;1;NA;NA;1;1;1;20;
Farallon-1-2016-2;2;2016-05-28;;;2016-06-16;;0;NA;NA;1;NA;NA;NA;Ä2 trasigt 16/6
Farallon-1-2016-3;1;2016-05-29;2016-07-01;2016-07-09;;;0;NA;NA;1;2;1;8;För ung för att räknas som flygg.
Triangle-2-2016-4;1;2016-05-31;2016-07-05;2016-07-15;;;0;NA;NA;1;1;1;10;För ung för att räknas som flygg.
Triangle-3-2016-2;1;2016-05-31;;;2016-06-05;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 5/6
Rost-3-2016-4;1;2016-06-03;;;2016-07-05;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 5/7
Bonden-4-2016-4;1;2016-06-09;2016-07-13;;;;NA;NA;NA;1;1;NA;3;Häckning ej avslutad 16/7, fortf unge. EJ MED I BERÄKNINGARNA!
Farallon-2-2016-1;2;2016-06-09;;;2016-06-13;;0;NA;NA;1;NA;NA;NA;Ä2 förlorat 13/6
Rost-5-2016-3;1;2016-06-10;;;2016-07-08;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 8/7
Bonden-1-2017-1;1;2017-05-04;2017-06-05;2017-06-28;;;1;NA;NA;1;1;1;23;
Rost-2-2017-3;1;2017-05-06;2017-06-09;2017-06-30;;;1;NA;NA;1;2;2;20;
Rost-3-2017-1;1;2017-05-09;2017-06-11;2017-07-03;;;1;NA;NA;1;1;1;22;
Bonden-3-2017-1;1;2017-05-10;2017-06-14;2017-07-03;;;1;NA;NA;1;2;3;17;
Bonden-4-2017-2;1;2017-05-10;2017-06-13;2017-07-05;;;1;NA;NA;1;1;1;22;
Farallon-3-2017-2;1;2017-05-10;2017-06-12;2017-07-03;;;1;NA;NA;1;1;1;21;
Rost-2-2017-2;1;2017-05-10;2017-06-14;2017-07-07;;;1;NA;NA;1;1;1;23;
Rost-3-2017-3;1;2017-05-10;2017-06-12;2017-07-04;;;NA;NA;NA;1;1;NA;NA;Oklarheter ang flyggdag pga rörigt på hyllan. EJ MED I BERÄKNINGARNA.
Rost-5-2017-4;1;2017-05-10;2017-06-16;2017-07-07;;;1;NA;NA;1;1;1;21;
Bonden-4-2017-1;1;2017-05-11;2017-06-13;2017-07-03;;;1;NA;NA;1;2;1;20;
Farallon-3-2017-1;1;2017-05-11;2017-06-15;2017-07-05;;;1;NA;NA;1;1;1;20;
Rost-2-2017-1;1;2017-05-11;;;2017-07-04;;0;NA;NA;1;NA;NA;NA;Ä1 förlorat 20170704
Rost-5-2017-3;1;2017-05-11;2017-06-14;2017-07-07;;;1;NA;NA;1;2;1;23;
Triangle-3-2017-1;1;2017-05-11;2017-06-15;2017-07-03;;;1;NA;NA;1;5;1;18;
Bonden-4-2017-3;1;2017-05-12;2017-06-17;2017-07-05;;;1;NA;NA;1;8;1;18;
Farallon-1-2017-1;1;2017-05-12;2017-06-11;2017-06-28;;;1;NA;NA;1;1;1;17;
