"ID"	"PairID"	"BrAttempt"	"EggDate"	"HatchDate"	"ChickGoneDate"	"EggLossDate"	"FailureCause"	"EggCol"	"BreedSucc"	"EggPosX"	"EggPosY"	"EggExact"	"HatchExact"	"FledgeExact"	"ChickMinAge"	"DateEggLost"	"Comment"	"Field15"	"Field16"	"Field17"	"Field18"	"Field19"	"Field20"	"Field21"	"Field22"	"Field23"	"Field24"	"Field25"	"Field26"	"Field27"	"Field28"	"Field29"	"Field30"	"Field31"	"Field32"	"Field33"	"Field34"	"Field35"	"Field36"	"Field37"	"Field38"	"Field39"	"Field40"	"Field41"	"Field42"	"Field43"	"Field44"	"Field45"	"Field46"	"Field47"	"Field48"	"Field49"	"Field50"	"Field51"	"Field52"	"Field53"	"Field54"	"Field55"	"Field56"	"Field57"	"Field58"	"Field59"	"Field60"	"Field61"	"Field62"	"Field63"	"Field64"	"Field65"	"Field66"	"Field67"	"Field68"	"Field69"	"Field70"	"Field71"	"Field72"	"Field73"	"Field74"	"Field75"	"Field76"	"Field77"	"Field78"	"Field79"	"Field80"	"Field81"	"Field82"	"Field83"	"Field84"	"Field85"	"Field86"	"Field87"	"Field88"	"Field89"	"Field90"	"Field91"	"Field92"	"Field93"	"Field94"	"Field95"	"Field96"	"Field97"
70	"Rost-5-2016-2"	"1"	2016-5-20 00:00:00	2016-6-21 00:00:00	2016-7-14 00:00:00			"Green"	"1"	"NA"	"NA"	"1"	"1"	"1"	"23"																																																																																					
71	"Rost-5-2016-3"	"1"	2016-6-10 00:00:00			2016-7-8 00:00:00		"Green"	"0"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	2016-7-8 00:00:00	"Ä1 forlorat 8/7"																																																																																			
72	"Triangle-2-2016-1"	"1"	2016-5-16 00:00:00	2016-6-17 00:00:00	2016-7-6 00:00:00			"Green"	"1"	"NA"	"NA"	"1"	"1"	"1"	"19"		"U märkt som YN:AR1 ACX881"																																																																																			
73	"Bonden-4-2018-3"	"1"	2018-5-12 00:00:00	2018-6-14 00:00:00	2018-7-4 00:00:00			"Green"	"1"	"176"	"Middle/outer"	"1"	"1"	"1"	"20"																																																																																					
74	"Rost-2-2018-2"	"1"	2018-5-8 00:00:00			2018-6-6 00:00:00		"Green"	"0"	"148"	"Inner"	"1"	"NA"	"NA"	"NA"	2020-6-6 00:00:00	"Ägg trasig 6/6."																																																																																			
75	"Rost-2-2018-3"	"1"	2018-5-10 00:00:00	2018-6-11 00:00:00	2018-7-4 00:00:00			"Green"	"1"	"137"	"Middle"	"1"	"1"	"1"	"23"																																																																																					
76	"Rost-3-2018-1"	"1"	2018-5-8 00:00:00			2018-5-9 00:00:00		"Green"	"0"	"100"	"Middle"	"1"	"NA"	"NA"	"NA"	2018-5-9 00:00:00	"Ä1 forlorat 9/5."																																																																																			
77	"Rost-3-2018-2"	"1"	2018-5-10 00:00:00	2018-6-12 00:00:00	2018-7-2 00:00:00			"Green"	"1"	"127"	"NA"	"1"	"1"	"1"	"20"																																																																																					
78	"Rost-5-2018-3"	"1"	2018-5-18 00:00:00			2018-6-3 00:00:00	"Human disturbance"	"Green"	"0"	"130"	"Middle"	"1"	"NA"	"NA"	"NA"	2018-6-3 00:00:00	"Ä1 forlorat 3/6, troligen pga äggfotostudio. EJ MED I BERÄKNINGARNA."																																																																																			
79	"Triangle-2-2018-2"	"1"	2018-5-16 00:00:00	2018-6-18 00:00:00	2018-7-6 00:00:00			"Green"	"1"	"115 -> 150"	"NA"	"1"	"1"	"1"	"18"																																																																																					
