PairID;BrAttempt;EggDate;HatchDate;ChickGoneDate;EggLossDate;BreedSucc
Rost-2-2018-2;1;2018-05-08;;;2018-06-06;0
Rost-3-2018-1;1;2018-05-08;;;2018-05-09;0
Bonden-3-2018-1;1;2018-05-10;2018-06-12;2018-07-04;;1
Farallon-3-2018-1;1;2018-05-10;2018-06-12;2018-07-04;;1
Farallon-3-2018-2;1;2018-05-10;2018-06-12;2018-07-04;;1
Rost-5-2018-1;1;2018-05-10;;;2018-06-14;0
Rost-2-2018-3;1;2018-05-10;2018-06-11;2018-07-04;;1
Rost-3-2018-2;1;2018-05-10;2018-06-12;2018-07-02;;1
Triangle-3-2018-1;1;2018-05-10;2018-06-13;2018-07-05;;1
Rost-3-2018-3;1;2018-05-10;2018-06-12;2018-07-04;;1
Farallon-4-2018-1;1;2018-05-11;2018-06-14;2018-07-03;;1
Farallon-1-2018-2;1;2018-05-11;;;2018-07-15;0
Bonden-4-2018-1;1;2018-05-11;2018-06-13;2018-07-05;;1
Farallon-1-2018-1;1;2018-05-11;2018-06-14;2018-07-04;;1
Farallon-2-2018-1;1;2018-05-11;2018-06-13;2018-07-04;;1
Triangle-2-2018-1;1;2018-05-12;2018-06-13;2018-07-04;;1
Bonden-4-2018-2;1;2018-05-12;2018-06-15;2018-07-06;;1
Farallon-1-2018-3;1;2018-05-12;2018-06-14;2018-07-04;;1
Farallon-1-2018-4;1;2018-05-12;2018-06-14;2018-07-04;;1
Farallon-3-2018-3;1;2018-05-12;2018-06-15;2018-07-04;;1
Bonden-4-2018-3;1;2018-05-12;2018-06-14;2018-07-04;;1
Farallon-3-2018-4;1;2018-05-12;2018-06-15;2018-07-04;;1
Rost-3-2018-4;1;2018-05-12;2018-06-13;2018-07-04;;1
Farallon-3-2018-5;1;2018-05-13;2018-06-15;2018-07-04;;1
Bonden-2-2018-1;1;2018-05-14;2018-06-17;2018-07-06;;1
Farallon-4-2018-2;1;2018-05-14;2018-06-15;2018-07-05;;1
Bonden-4-2018-4;1;2018-05-15;2018-06-17;2018-07-11;;1
Triangle-1-2018-1;1;2018-05-15;;;2018-06-08;0
Bonden-5-2018-1;1;2018-05-15;2018-06-18;2018-07-06;;1
Triangle-1-2018-2;1;2018-05-15;2018-06-16;2018-07-05;;1
Rost-5-2018-2;1;2018-05-16;2018-06-15;2018-07-07;;1
Triangle-2-2018-3;1;2018-05-16;2018-06-17;2018-07-04;;1
Triangle-2-2018-2;1;2018-05-16;2018-06-18;2018-07-06;;1
Farallon-1-2018-5;1;2018-05-16;2018-06-18;2018-07-10;;1
Bonden-6-2018-1;1;2018-05-17;2018-06-20;2018-07-10;;1
Rost-2-2018-5;1;2018-05-17;;;2018-06-30;0
Triangle-2-2018-4;1;2018-05-17;2018-06-20;2018-07-05;;1
Bonden-5-2018-2;1;2018-05-18;2018-06-23;2018-07-11;;1
Triangle-2-2018-5;1;2018-05-19;;;2018-06-18;0
Triangle-1-2018-3;1;2018-05-19;2018-06-23;2018-07-11;;1
Rost-3-2018-5;1;2018-05-19;;;2018-06-03;0
Rost-3-2018-1;2;2018-05-22;;;;1
Triangle-3-2018-2;1;2018-05-23;;;;1
Farallon-3-2018-6;1;2018-05-24;;;2018-06-27;0
Farallon-3-2018-7;1;2018-05-24;2018-06-25;2018-07-11;;1
Bonden-6-2018-2;1;2018-05-26;2018-06-28;2018-07-15;;1
Farallon-5-2018-1;1;2018-05-27;2018-07-02;2018-07-15;;0
Rost-6-2018-2;1;2018-05-27;;;2018-06-01;0
Rost-6-2018-3;1;2018-05-30;;;2018-06-13;0
Farallon-4-2018-3;1;2018-06-03;2018-07-07;2018-07-11;;0
Triangle-3-2018-3;1;2018-06-06;;;2018-07-06;0
Bonden-5-2018-4;1;2018-06-13;;;2018-07-11;0
Triangle-1-2018-4;1;2018-06-18;;;2018-07-11;0
Bonden-1-2019-1;1;2019-05-06;2019-06-08;2019-06-25;;1
Rost-5-2019-1;1;2019-05-06;2019-06-09;2019-06-29;;1
Rost-3-2019-1;1;2019-05-10;2019-06-12;2019-07-07;;1
Rost-2-2019-1;1;2019-05-11;2019-06-12;2019-07-04;;1
Bonden-4-2019-1;1;2019-05-12;2019-06-16;2019-07-07;;1
Rost-2-2019-2;1;2019-05-12;2019-06-13;2019-07-04;;1
Rost-3-2019-2;1;2019-05-12;2019-06-13;2019-07-07;;1
Farallon-1-2019-1;1;2019-05-13;2019-06-15;2019-07-07;;1
Farallon-1-2019-2;1;2019-05-13;2019-06-14;2019-07-06;;1
Farallon-1-2019-3;1;2019-05-13;2019-06-14;2019-07-08;;1
Farallon-2-2019-1;1;2019-05-13;;;2019-06-07;0
Farallon-3-2019-1;1;2019-05-13;2019-06-13;2019-07-06;;1
Farallon-3-2019-2;1;2019-05-13;2019-06-16;2019-07-06;;1
Farallon-4-2019-1;1;2019-05-13;2019-06-14;2019-07-07;;1
Bonden-3-2019-1;1;2019-05-13;2019-06-15;2019-07-06;;1
Bonden-4-2019-2;1;2019-05-13;2019-06-15;2019-07-06;;1
Rost-2-2019-3;1;2019-05-13;2019-06-15;2019-07-06;;1
Rost-3-2019-3;1;2019-05-13;2019-06-15;2019-07-14;;1
Rost-5-2019-2;1;2019-05-13;2019-06-15;2019-07-07;;1
Triangle-2-2019-1;1;2019-05-14;2019-06-17;2019-07-09;;1
Bonden-6-2019-1;1;2019-05-14;2019-06-17;2019-07-10;;1
Rost-2-2019-4;1;2019-05-14;2019-06-16;2019-07-07;;1
Triangle-2-2019-2;1;2019-05-15;2019-06-16;2019-07-06;;1
Farallon-1-2019-4;1;2019-05-15;2019-06-17;2019-07-07;;1
Farallon-3-2019-5;1;2019-05-15;2019-06-17;2019-07-07;;1
Farallon-3-2019-6;1;2019-05-15;2019-06-16;2019-07-06;;1
Farallon-3-2019-4;1;2019-05-15;2019-06-18;2019-07-07;;1
Bonden-2-2019-1;1;2019-05-15;2019-06-16;2019-07-12;;1
Bonden-4-2019-3;1;2019-05-15;2019-06-18;2019-07-09;;1
Bonden-4-2019-4;1;2019-05-15;;;;1
Bonden-5-2019-1;1;2019-05-15;2019-06-18;2019-07-07;;1
Rost-2-2019-5;1;2019-05-15;;;2019-07-06;0
Triangle-1-2019-1;1;2019-05-16;;;2019-07-08;0
Farallon-1-2019-5;1;2019-05-16;2019-06-17;2019-07-07;;1
Farallon-3-2019-7;1;2019-05-16;;;2019-06-06;0
Triangle-2-2019-3;1;2019-05-17;2019-06-20;2019-07-11;;1
Triangle-2-2019-4;1;2019-05-17;2019-06-21;2019-07-11;;1
Farallon-5-2019-1;1;2019-05-17;2019-06-20;2019-07-09;;1
Bonden-5-2019-2;1;2019-05-17;2019-06-20;2019-07-11;;1
Triangle-1-2019-2;1;2019-05-18;2019-06-20;2019-07-11;;1
Triangle-3-2019-1;1;2019-05-18;;;2019-06-01;0
Farallon-4-2019-2;1;2019-05-18;2019-06-20;2019-07-10;;1
Bonden-5-2019-3;1;2019-05-18;2019-06-20;2019-07-12;;1
Rost-4-2019-1;1;2019-05-18;;;2019-05-25;0
Triangle-1-2019-3;1;2019-05-19;2019-06-20;2019-07-11;;1
Triangle-2-2019-5;1;2019-05-19;2019-06-22;2019-07-11;;1
Rost-5-2019-3;1;2019-05-19;2019-06-20;2019-07-11;;1
Farallon-4-2019-3;1;2019-05-20;2019-06-22;2019-07-11;;1
Farallon-5-2019-2;1;2019-05-20;2019-06-23;2019-07-12;;1
Rost-3-2019-4;1;2019-05-20;2019-06-22;2019-07-12;;1
Triangle-2-2019-6;1;2019-05-22;;;2019-06-16;0
Triangle-1-2019-4;1;2019-05-23;2019-06-26;2019-07-11;;1
Rost-6-2019-1;1;2019-05-23;2019-06-25;2019-07-15;;1
Triangle-4-2019-1;1;2019-05-24;2019-06-29;2019-07-17;;1
Bonden-5-2019-4;1;2019-05-24;2019-06-27;2019-07-06;;1
Farallon-4-2019-4;1;2019-05-25;;;2019-06-07;0
Rost-3-2019-5;1;2019-05-25;2019-06-26;2019-07-13;;1
Farallon-4-2019-5;1;2019-05-26;;;2019-06-06;0
Bonden-5-2019-5;1;2019-05-26;2019-06-28;2019-07-14;;1
Bonden-6-2019-2;1;2019-05-27;2019-06-29;2019-07-17;;1
Farallon-4-2019-6;1;2019-05-29;;;2019-05-31;0
Farallon-6-2019-1;1;2019-05-29;2019-07-02;2019-07-29;;1
Triangle-5-2019-1;1;2019-05-31;;;2019-06-01;0
Triangle-5-2019-2;1;2019-06-02;2019-07-05;2019-07-12;;0
Farallon-2-2019-2;1;2019-06-04;;;2019-06-12;0
Bonden-4-2019-4;2;2019-06-08;2019-07-13;2019-07-29;;1
Triangle-3-2019-1;2;2019-06-13;;;2019-07-09;0
Bonden-1-2020-1;1;2020-05-13;2020-06-14;2020-07-09;;1
Rost-5-2020-1;1;2020-05-14;;;;1
Rost-2-2020-1;1;2020-05-16;2020-06-18;2020-07-11;;1
Rost-3-2020-1;1;2020-05-16;2020-06-19;2020-07-10;;1
Rost-3-2020-2;1;2020-05-16;;;2020-06-08;0
Rost-2-2020-2;1;2020-05-17;2020-06-25;2020-07-11;;1
Bonden-2-2020-1;1;2020-05-18;2020-06-20;2020-07-10;;1
Bonden-4-2020-1;1;2020-05-18;2020-06-20;2020-07-10;;1
Bonden-5-2020-1;1;2020-05-18;2020-06-21;2020-07-10;;1
Bonden-5-2020-2;1;2020-05-18;2020-06-20;2020-07-11;;1
Bonden-6-2020-1;1;2020-05-18;2020-06-22;2020-07-13;;1
Farallon-1-2020-1;1;2020-05-18;2020-06-19;2020-07-09;;1
Farallon-1-2020-2;1;2020-05-18;2020-06-21;2020-07-13;;1
Farallon-3-2020-1;1;2020-05-18;2020-06-20;2020-07-11;;1
Triangle-2-2020-1;1;2020-05-18;;;;1
Bonden-6-2020-2;1;2020-05-19;2020-06-21;2020-07-10;;1
Farallon-3-2020-2;1;2020-05-19;2020-06-20;2020-07-10;;1
Farallon-5-2020-1;1;2020-05-19;;;2020-06-05;0
Farallon-5-2020-2;1;2020-05-19;;;2020-06-01;0
Rost-3-2020-3;1;2020-05-19;2020-06-18;2020-07-08;;1
Rost-3-2020-4;1;2020-05-19;2020-06-22;2020-07-11;;1
Triangle-3-2020-1;1;2020-05-19;2020-06-21;2020-07-10;;1
Bonden-3-2020-1;1;2020-05-20;2020-06-22;2020-07-11;;1
Bonden-5-2020-3;1;2020-05-20;2020-06-22;2020-07-13;;1
Farallon-1-2020-3;1;2020-05-20;2020-06-20;2020-07-11;;1
Farallon-4-2020-1;1;2020-05-20;2020-06-22;2020-07-14;;1
Rost-2-2020-3;1;2020-05-20;2020-06-23;2020-07-13;;1
Rost-3-2020-5;1;2020-05-20;2020-06-22;2020-07-13;;1
Triangle-1-2020-2;1;2020-05-20;;;2020-05-27;0
Triangle-2-2020-2;1;2020-05-20;2020-06-22;2020-07-15;;1
Triangle-4-2020-1;1;2020-05-20;;;2020-05-23;0
Bonden-4-2020-3;1;2020-05-21;2020-06-24;2020-07-14;;1
Triangle-2-2020-3;1;2020-05-21;2020-06-24;2020-07-11;;1
Farallon-2-2020-1;1;2020-05-22;2020-06-24;2020-07-13;;1
Farallon-3-2020-3;1;2020-05-22;2020-06-23;2020-07-11;;1
Rost-2-2020-4;1;2020-05-23;;;2020-06-24;0
Farallon-3-2020-4;1;2020-05-24;2020-06-26;2020-06-28;;0
Farallon-3-2020-5;1;2020-05-24;2020-06-26;2020-07-14;;1
Rost-5-2020-2;1;2020-05-24;2020-06-25;2020-07-15;;1
Farallon-6-2020-1;1;2020-05-25;2020-06-28;2020-07-17;;1
Rost-6-2020-1;1;2020-05-25;2020-06-27;2020-07-16;;1
Triangle-5-2020-1;1;2020-05-25;2020-06-27;2020-06-28;;0
Bonden-6-2020-3;1;2020-05-27;2020-06-30;2020-07-14;;0
Farallon-2-2020-2;1;2020-05-27;2020-06-28;2020-07-16;;1
Farallon-4-2020-2;1;2020-05-27;;;2020-06-27;0
Triangle-2-2020-4;1;2020-05-27;2020-06-28;2020-07-15;;1
Triangle-2-2020-5;1;2020-05-27;;;2020-05-29;0
Rost-5-2020-1;2;2020-05-28;2020-06-30;2020-07-17;;1
Bonden-4-2020-4;1;2020-05-29;;;2020-07-17;0
Farallon-1-2020-4;1;2020-05-29;2020-06-29;2020-07-17;;1
Farallon-3-2020-6;1;2020-05-29;;;2020-06-26;0
Farallon-4-2020-3;1;2020-05-29;2020-07-03;2020-07-20;;1
Triangle-1-2020-3;1;2020-05-29;;;2020-06-28;0
Farallon-5-2020-3;1;2020-06-01;;;2020-06-28;0
Triangle-3-2020-2;1;2020-06-02;;;2020-06-27;0
Triangle-2-2020-1;2;2020-06-02;2020-07-04;2020-07-20;;1
Rost-3-2020-6;1;2020-06-03;;;2020-07-14;0
Rost-6-2020-2;1;2020-06-04;;;2020-06-21;0
Triangle-1-2020-2;2;2020-06-05;;;2020-07-16;0
Triangle-4-2020-1;2;2020-06-05;;;2020-06-06;0
Farallon-4-2020-4;1;2020-06-06;;;2020-06-20;0
Rost-5-2020-4;1;2020-06-08;2020-07-11;2020-07-17;;0
Triangle-2-2020-6;1;2020-06-09;2020-07-13;2020-07-16;;0
Triangle-3-2020-3;1;2020-06-10;;;2020-06-28;0
Triangle-1-2020-5;1;2020-06-14;;;2020-06-16;0
Triangle-2-2020-5;2;2020-06-14;;;2020-06-16;0
Farallon-3-2020-7;1;2020-06-16;;;2020-06-28;0
Bonden-1-2021-1;1;2021-05-07;2021-06-09;2021-07-02;;1
Rost-2-2021-1;1;2021-05-10;2021-06-12;2021-06-29;;0
Rost-5-2021-1;1;2021-05-12;;;2021-07-03;0
Rost-3-2021-1;1;2021-05-13;2021-06-15;2021-07-04;;1
